,id_especie,nome_cientifico,nome_popular_1,genero,especie,familia,densidade_basica,contracao_tangencial,contracao_radial,contracao_volumetrica,relacao_tangencial_radial,flexao_seca_moe,flexao_seca_mor,compressao_paralela_seca,dureza_janka_paralela_seca,dureza_janka_transversal_seca,cisalhamento_seca,cor_cerne_classificacao,textura,gra,brilho,cerne_alburno,figura_tangencial,secagem_duracao_dias
41,91,Drypetes variabilis,PAU-BRANCO,Drypetes,variabilis,Euphorbiaceae,0.71,11.3,5.8,15.9,1.95,15.89,143.86,72.47,12895.78,11199.22,16.18,cinza,fina,cruzada revessa e cruzada ondulada,ausente,indistintos,"em faixas longitudinais bem destacadas, causadas por anéis de crescimento",3
42,92,Endopleura uchi,UXI,Endopleura,uchi,Humiriaceae,0.78,9.6,6.4,15.6,1.5,15.3,153.67,74.82,13111.52,10385.27,18.73,marrom,média,direita,moderado,pouco distintos,causada por linhas vasculares destacadas,3
43,93,Enterolobium maximum,TAMBORIL,Enterolobium,maximum,Mimosaceae,0.37,4.5,2.4,6.7,1.88,7.65,48.84,37.66,3854.02,2824.32,8.83,marrom,média a grossa,"cruzada, levemente revessa",moderado,distintos,causada por linhas vasculares bem destacadas,23
44,95,Enterolobium schomburgkii,FAVA-ORELHA-DE-NEGRO,Enterolobium,schomburgkii,Mimosaceae,0.84,9.3,4.2,12.7,2.21,16.77,161.61,78.65,9277.11,10434.3,17.36,amarela,média a grossa,cruzada revessa e cruzada ondulada,moderado,distintos,em linhas vasculares e faixas causadas por anéis de crescimento grã e brilho,3
45,97,Erisma uncinatum,CEDRINHO,Erisma,uncinatum,Vochysiaceae,0.46,10.0,4.3,13.4,2.33,10.79,87.48,49.72,5785.94,3863.83,7.85,marrom,média,cruzada irregular a direita,moderado,distintos,causada por linhas vasculares destacadas,45
46,103,Eschweilera sp,MATAMATÁ,Eschweilera,sp,Lecythidaceae,0.81,10.7,6.0,16.1,1.78,18.93,168.18,86.4,14631.56,13631.28,20.5,marrom,média,direita,moderado,indistintos,em manchas escuras e irregulares,
47,115,Glycydendron amazonicum,GLÍCIA,Glycydendron,amazonicum,Euphorbiaceae,0.66,7.6,4.9,12.0,1.55,14.91,125.92,65.02,8561.23,7433.46,13.44,amarela,média a fina,cruzada ondulada a direita,moderado,distintos,não apresenta,18
48,116,Goupia glabra,CUPIÚBA,Goupia,glabra,Goupiaceae,0.71,8.4,4.5,13.2,1.87,14.61,131.41,67.57,9993.0,8139.54,14.51,marrom,média,cruzada revessa,ausente,pouco distintos a indistintos,causada por linhas vasculares destacadas,14
49,118,Guatteria olivacea,EMBIRA-preta,Guatteria,olivacea,Annonaceae,0.51,9.3,4.4,13.0,2.11,12.26,98.26,51.39,5805.55,4756.24,8.73,cinza,média a grossa,direita ,moderado,indistintos,em faixas pouco destacadas causadas por anéis de crescimento,
50,120,Guatteria procera,EMBIRA-preta,Guatteria,procera,Annonaceae,0.65,11.4,7.2,18.5,1.58,15.3,121.5,69.14,7443.27,6531.25,10.49,cinza,média a grossa,direita,moderado,indistintos,"em faixas longitudinais bem destacadas, causadas por anéis de crescimento",
51,123,Hymenaea courbaril,JATOBÁ,Hymenaea,courbaril,Caesalpiniaceae,0.76,7.7,3.4,11.4,2.26,15.59,137.2,75.81,12287.76,10944.25,19.02,marrom,média,cruzada irregular,moderado,distintos,"em faixas longitudinais bem destacadas, causadas por anéis de crescimento",3
52,124,Hymenaea parvifolia,JATOBÁ / JUTAÍ-DO-CAMPO,Hymenaea,parvifolia,Caesalpiniaceae,0.9,9.7,3.7,13.4,2.62,16.97,169.85,94.73,16386.95,16867.48,23.14,marrom,média,cruzada irregular,moderado,distintos,"em faixas longitudinais bem destacadas, causadas por anéis de crescimento",15
53,125,Hymenolobium modestum,ANGELIM-PEDRA,Hymenolobium,modestum,Fabaceae,0.65,7.7,4.6,13.5,1.67,13.24,118.46,59.92,7904.18,7325.59,13.73,amarela,grossa,cruzada revessa,ausente,distintos,"de aspecto fibroso acantuado, causado por destaque de parênquima axial e linhas vasculares",35
54,129,Inga alba,INGÁ / INGÁ XIXI,Inga,alba,Mimosaceae,0.62,9.6,4.0,13.3,2.4,13.34,120.72,60.21,8463.16,6305.69,14.32,marrom,média a grossa,cruzada ondulada e cruzada revessa,moderado,indistintos,"em forma de V, causada por anéis de crescimento destacados",27
55,130,Inga paraensis,INGÁ,Inga,paraensis,Mimosaceae,0.82,10.7,5.3,15.9,2.02,17.95,182.99,83.36,14886.53,13631.28,21.38,marrom,média a grossa,cruzada irregular,ausente,indistintos,em linhas vasculares e faixas causadas por destaque de anéis de crescimento,2
56,131,Inga sp,INGÁ,Inga,sp,Mimosaceae,0.85,9.6,4.1,12.0,2.34,15.49,157.99,82.08,14866.92,12660.42,20.2,marrom,média a grossa,cruzada irregular,moderado,indistintos,em linhas vasculares e faixas causadas por destaque de anéis de crescimento,
57,137,Lecythis idatimon,MATAMATÁ / SAPUCAIA-AMARGOSA,Lecythis,idatimon,Lecythidaceae,0.76,10.3,4.9,15.3,2.1,14.71,141.02,69.33,10895.22,10414.69,14.42,marrom,,cruzada irregularmedia,ausente,pouco distintos,"em faixas longitudinais bem destacadas, causadas por anéis de crescimento",5
58,138,Lecythis pisonis subsp. usitata,SAPUCAIA / SAPUCAIA-VERMELHA,Lecythis,pisonis,Lecythidaceae,0.84,8.0,5.6,13.9,1.43,14.81,149.94,70.22,12993.84,12591.77,17.16,vermelha,média,cruzada levemente revessa,ausente,distintos,causada por linhas vasculares destacadas,7
59,141,Licania octandra,CARAIPÉ,Licania,octandra,Chrysobalanaceae,0.77,11.9,6.1,17.4,1.95,17.06,161.03,83.36,12199.5,12248.54,15.2,marrom,média,direita,ausente,pouco distintos,não apresenta,63
60,142,Licaria chrysophylla = Licaria rigida,LOURO-AMARELO,Licaria,chrysophylla,Lauraceae,0.73,9.1,5.3,13.5,1.72,17.55,165.54,85.51,10561.79,8982.91,16.77,marrom,média,cruzada irregular,moderado,distintos,em manchas longitudinais irregulares causadas por anéis de crescimento,
61,143,Lueheopsis duckeana,AÇOITA-CAVALO,Lueheopsis,duckeana,Tiliaceae,0.62,9.5,4.6,13.3,2.07,14.22,123.17,62.47,8865.23,7708.05,12.55,marrom,média,cruzada irregular a direita,ausente,indistintos,"em forma de V, causada por anéis de crescimento",17
62,149,Malouetia duckei,SORVA,Malouetia,duckei,Sapotaceae,0.57,9.2,3.7,12.7,2.49,12.65,112.19,59.23,8159.15,5913.43,14.61,cinza,fina,cruzada ondulada e direita,ausente,indistintos,"em forma de V, causada por anéis de crescimento pouco destacados",25
63,150,Manilkara bidentata = Manilkara amazonica,MAÇARANDUBA,Manilkara,bidentata,Sapotaceae,0.83,8.3,5.9,13.8,1.41,13.53,128.17,63.55,8698.52,9100.59,15.98,marrom,fina,direita,ausente,distintos,em manchas escuras e irregulares,7
64,163,Micropholis venulosa,rosaDINHO,Micropholis,venulosa,Sapotaceae,0.67,9.7,4.7,14.0,2.06,13.93,,64.92,9983.2,7649.21,14.42,marrom,fina,cruzada ondulada e direita,moderado,pouco distintos,"de aspecto irregular, causada por anéis de crescimento",
65,171,Ocotea neesiana,LOURO-PRETO,Ocotea,neesiana,Lauraceae,0.55,7.7,4.2,10.2,1.83,11.87,107.97,60.02,4932.76,4491.46,12.45,oliva,média,cruzada revessa,acentuado,distintos a pouco distintos,causada por linhas vasculares destacadas,
66,172,Ocotea sp,LOURO,Ocotea,sp,Lauraceae,0.63,7.8,3.6,11.1,2.17,14.02,119.74,63.45,5236.76,5256.38,12.36,marrom,média,cruzada revessa,acentuado,pouco distintos,causada por linhas vasculares destacadas,115
67,175,Onychopetalum amazonicum,ENBIRA-preta,Onychopetalum,amazonicum,Annonaceae,0.57,8.1,4.9,14.0,1.65,15.0,122.78,65.21,6668.54,5599.61,10.2,amarela,média a grossa,direita,moderado,indistintos,"em faixas pouco destacadas,causadas por anéis de crescimento",
68,178,Ormosia paraensis,TENTO,Ormosia,paraensis,Fabaceae,0.67,10.3,4.7,14.7,2.19,14.61,122.78,70.61,8659.29,8208.19,12.75,marrom,grossa,cruzada revessa e cruzada ondulada,moderado,pouco distintos,"de aspecto fibroso acentuado, causado por destaque de parênquima axial e linhas vasculares",4
69,188,Parkia paraensis,FAVEIRA / VISGUEIRO,Parkia,paraensis,Mimosaceae,0.44,7.6,3.5,11.9,2.17,11.47,73.55,38.64,3912.86,3304.85,9.61,cinza,média,cruzada irregular a direita,ausente,indistintos,causada por linhas vasculares bem destacadas,35
70,194,Piptadenia gonoacantha = Piptadenia communis,rosaDINHO,Piptadenia,gonoacantha,Sapotaceae,0.68,7.4,4.5,13.3,1.64,13.44,116.01,68.65,7217.71,7423.65,13.14,marrom,média,cruzada irregular,médio,pouco distintos,linhas (radial),215
71,198,Pouteria anomala,ABIURANA,Pouteria,anomala,Sapotaceae,0.75,9.4,6.3,15.2,1.49,15.89,162.69,85.12,14347.17,11444.39,18.93,marrom,fina,direita,moderado,pouco distintos,"em faixas longitudianis bem destacadas, causadas por anéis de crescimento",35
72,200,Pouteria caimito,ABIURANA-branca,Pouteria,caimito,Sapotaceae,0.88,9.4,5.3,14.5,1.77,17.55,168.48,87.67,12797.71,12238.73,16.38,marrom,média a fina,cruzada irregular,ausente,distintos,não apresenta,3
73,201,Pouteria caimito,ABIU-PITOMBA,Pouteria,caimito,Sapotaceae,0.85,9.45,5.51,14.94,1.72,14.61,149.26,76.69,12876.16,10963.86,13.24,marrom,fina,irregular,moderado,distintos,"pouco destacada, causada pelas linhas vasculares",
74,205,Pouteria oppositifolia,ABIU-BRANCO,Pouteria,oppositifolia,Sapotaceae,0.65,7.8,4.6,12.5,1.7,,,,,,,marrom,fina,cruzada irregular,ausente,indistintos,não apresenta,
75,211,Protium sp,BREU,Protium,sp,Burseraceae,0.76,9.8,5.1,15.0,1.92,15.49,137.98,78.94,12238.73,10306.82,17.85,marrom,média,cruzada irregular,moderado,pouco distintos a indistintos ,não apresenta,
76,212,Protium tenuifolium,BREU-PRETO,Protium,tenuifolium,Burseraceae,0.63,8.4,4.2,12.0,2.0,12.65,114.15,63.25,8982.91,6746.99,14.61,marrom,média a fina,cruzada ondulada e cruzada irregular,ausente,pouco distintos,não apresenta,
77,196,Pseudopiptadenia suaveolens =Piptadenia suaveolens,TIMBORANA,Pseudopiptadenia,suaveolens,Mimosaceae,0.43,5.42,3.31,9.83,1.64,10.2,82.47,38.83,5570.19,4069.77,,marrom,fina,direita,ausente,indistintos,"em forma de `U´ e em faixas longitudinais destacadas, causadas pelas camadas de crescimento   e em linhas vasculares pouco destacadas",36
78,220,Roupala montana,LOURO-FAIA,Roupala,montana,Proteaceae,0.77,12.3,6.3,18.0,1.95,16.97,158.28,82.96,9571.31,9649.77,15.4,cinza,grossa,direita,moderado,distintos,"de aspecto áspero, causado pelo parênquima radial",1
79,214,Ruizterania albiflora = Qualea albiflora,MANDIOQUEIRA,Ruizterania,albiflora,Vochysiaceae,0.57,9.5,5.3,14.7,1.79,12.85,107.38,57.27,8296.45,6011.49,13.04,branca,média,cruzada revessa,moderado,pouco distintos a indistintos,causada por linhas vasculares destacadas,
80,224,Schefflera morototoni,MOROTOTÓ,Schefflera,morototoni,Araliaceae,0.41,9.1,6.7,15.7,1.36,11.08,71.1,39.72,4795.46,3510.79,10.4,branca,média,direita,moderado,indistintos,"em faixas longitudinais pouco destacadas, causadas por anéis de crescimento",5
81,238,Sterculia excelsa = Sterculia speciosa,XIXÁ,Sterculia,excelsa,Mimosaceae,0.49,10.6,5.2,16.2,2.04,13.63,90.52,46.48,4991.6,4158.03,8.73,cinza,grossa,direita,acentuado,indistintos,causada por linhas vasculares destacadas,"0,6"
82,243,Symphonia globulifera,ANANI,Symphonia,globulifera,Guttiferae,0.58,7.9,4.5,13.2,1.76,13.73,109.25,61.29,6668.54,5599.61,10.4,marrom,média,direita,moderado,distintos,em forma de linhas causadas por destaque de parênquima axial e faixas causadas por anéis de crescimento,2
83,227,Tachigali chrysophylla =Sclerolobium chrysophyllum,TAXI-PITOMBA,Tachigali,chrysophylla,Caesalpiniaceae,0.61,8.0,4.2,12.1,1.9,13.53,114.74,56.39,8345.48,6305.69,15.3,amarela,média a grossa,cruzada irregular a direita,moderado,indistintos ,em linhas vasculares bem destacadas e em forma de V causada por anéis de crescimento,
84,228,Tachigali paraensis = Sclerolobium paraense,TAXI-PRETO / TAXIARANA,Tachigali,paraensis,Caesalpiniaceae,0.61,8.3,4.0,12.3,2.08,13.44,123.37,64.43,10728.5,8727.94,17.36,marrom,média a grossa,cruzada revessa,moderado,pouco distintos,causadas por linhas vasculares bem destacadas,6
